번호,문항,답안,해설
1, 비밀로 관리되는 시공 등을 위한 연구자료 등 협력사(중소기업)의 생산활동에 기술적으로 유용하고 독립된 경제적 가치가 있는 정보는 기술자료에 포함된다.,O,"비밀로 관리되는 시공 또는 용역수행 방법에 관한 자료로서 시공 등을 위한 연구자료, 연구개발보고서 등 수급사업자의 생산활동에 기술적으로 유용하고 독립된 경제적 가치가 있는 정보는 기술자료에 포함된다."
2,"특허권, 실용신안권, 디자인권, 저작권 등의 지식재산권과 관련된 정보는 기술자료에 포함되지 않는다.",X,"특허권, 실용신안권, 디자인권, 저작권 등의 지식재산권 정보는 기술자료에 포함된다."
3,기술자료 제공요구서를 서면으로 주는 경우에는 비밀유지계약서를 체결하지 않아도 된다.,X,기술자료 제공요구서 외에 비밀유지계약도 체결하여야 한다.
4,"하도급 계약을 체결한 후, 협력사(중소기업)에 대한 기술자료 제공 요구는 언제든지 가능하다.",X,기술자료 제공 요구의 정당한 사유가 있어야 한다.
5,"제품에 하자가 발생하지 않았으나, 향후 하자 발생을 대비하여 협력사(중소기업)에 기술 자료를 요구할 수 있다.",X,제품에 하자가 발생하여 원인규명을 위해 하자와 직접 관련된 기술자료를 요구하는 경우 정당한 사유가 있는 기술자료 요구이다.
6,기술자료 제공 요구시 체결하는 비밀유지계약에는 기술자료를 제공받아 보유할 당사의 임직원 명단을 포함하여야 한다.,O,"원사업자는 기술자료를 제공받는 날까지 해당 기술자료의 범위, 기술자료를 제공받아 보유할 임직원의 명단, 비밀유지의무 및 목적 외 사용금지, 위반 시 배상 등이 포함된 비밀유지계약을 수급사업자와 체결하여야 한다."
7,"기술자료 제공 요구시 체결하는 비밀유지계약에는 기술자료의 반환, 폐기 방법 및 일자를 포함할 필요는 없다.",o, 기술자료 제공 요구시 체결하는 비밀유지계약에는 기술자료를 제공받아 보유할 임직원 명단을 포함하여야 한다.
8,기술자료 제공 요구시 체결하는 비밀유지계약에는 기술자료의 사용기간을 포함하여야 한다.,X,"기술자료 제공 요구시 체결하는 비밀유지계약에는 기술자료의 반환, 폐기 방법 및 열자를 포함하여야 한다."
9,"당사는 기술자료를 제공받는 날까지 기술자료를 제공받아 보유할 임직원의 명단, 목적 외 사용금지 등이 포함된 비밀유지계약을 협력사(중소기업)와 체결하여야 한다.",O,기술자료 제공 요구시 체결하는 비밀유지계약에는 기술자료의 사용기간을 포함하여야 한다.
10,"당사가 사전에 정한 반환 및 폐기 기한이 도래하였음에도 불구하고, 협력사(중소기업)의 기술자료를 반환 및 폐기하지 않고 사용하는 경우도 기술유용에 해당한다",O,"원사업자가 사전에 정한 반환, 폐기 기한이 도래하였음에도 불구하고 수급사업자의 기술자료를 반환,폐기하지 않고 사용하는 경우도 기술유용에 해당한다."
11,소스코드는 기술자료가 될 수 없다.,X,소스코드도 기술자료가 될 수 있다.
12,실패한 연구데이터도 기술자료가 될 수 있다.,O,실패한 연구데이터도 기술자료가 될 수 있다.
13,작업지시서는 기술자료가 될 수 있다.,O,작업지시서는 기술자료가 될 수 있다.
14,운용매뉴얼은 기술자료가 될 수 있다.,o,운용매뉴얼은 기술자료가 될 수 있다.
15,전체적으로는 동종 업계 종사자들 사이에 널리 사용되고 있는 정보나 자료는 기술자료에 해당되지 않는다.,X,전체적으로는 동종 업계 종사자들 사이에 널리 사용되고 있는 정보나 자료라 하더라도 세부사항에 있어서 비공개 상태가 유지되고 있다면 기술자료가 될 수 있다.
16,"당사, 협력사(중소기업)가 공동으로 입찰에 참여하는 과정에서 상호 공유가 필요한 정보를 요구하는 경우는 기술자료요구가 아니다.",O,"원, 수급사업자가 공동으로 입찰에 참여하는 과정에서 상호 공유할 필요가 있는 정보를 요구하는 경우는 기술자료요구가 아니다."
17,다른 영업에 활용할 목적으로 협력사(중소기업)에게 협력사(중소기업)의 거래처 명부 등 영업 관련 정보를 요구하는 것은 기술자료요구이다.,O,다른 영업에 활용할 목적으로 수급사업자에게 수급사업자의 거래처 명부 등 영업 관련 정보를 요구하는 것은 기술자료요구이다.
18,"정당한 사유없이도 협력사(중소기업)가 목적물등의 납품을 위해 투입한 재료비, 노무비 등 원가에 관한 정보를 요구할 수 있다.",X," 정당한 사유없이 수급사업자가 목적물등의 납품을 위해 투입한 재료비, 노무비 등 원가에 관한 정보(원가계산서 등의 세부지급 내역 등)를 요구하는 것은 기술자료요구이다."
19,정당한 사유없이도 협력사(중소기업)의 판매 계획 등에 관란 정보 등의 경영전략 관련 정보를 요구할 수 있다.,x,정당한 사유없이 수급사업자의 경영전략 관련 정보 (판매 계획 등에 관한 정보 등)를 요구하는 것은 기술자료요구이다.
