번호,문항,답안,해설
1,일반계약직의 계약기간은 법에서 정한 예외사유가 아닌한 연장기간을 포함하여 총 2년을 초과하여 운영하지 않아야 한다.,O,일반계약직 계약기간은 법에서 정한 예외사유가 아닌한 연장기간을 포함하여 총 2년을 초과하여 운영하지 않는다.
2,사업의 완료 또는 특정한 업무의 완성에 필요한 기간을 정한 경우에는 2년을 초과하여 계약직을 사용할 수 있다.,O,기간제법에 따라 사업의 완료 또는 특정한 업무의 완성에 필요한 기간을 정한 경우에는 12년을 초과하여 계약직을 사용할 수 있다.
3,55세 이상의 고령자와 근로계약을 체결하는 경우에는 2년을 초과하여 계약직을 사용할 수 있다.,O,기간제법에 따라 55세 이상의 고령자와 근로계약을 체결하는 경우에는 2년을 초과하여 계약직을 사용할 수 있다.
4,파견대상 업무가 아닌 업무로 파견계약직을 사용해서는 안된다.,O,파견대상 업무가 아닌 업무로 파견계약직을 사용해서는 안된다
5,비서는 파견대상업무에 해당한다.,O,비서를 포함한 사무지원종사자 업무는 파견대상업무에 해당한다.
6,파견계약직원에게 계약서에 명시된 업무 이외의 업무 지시를 해도 된다.,X,파견계약직원에게 계약서에 명시된 업무 이외의 업무 지시를 해서는 안된다.
7,"업무 상 도급을 줄 경우, 수급사가 도급 업무와 관련된 전문성, 기술, 경험, 자격 등을 보유하고 있는지 확인해야한다.",O,"업무 상 도급을 줄 경우, 불법파견 리스크 예방을 위해 수급사가 도급 업무와 관련된 전문성, 기술, 경험, 자격 등을 보유하고 있는지 확인해야한다."
8,"업무 상 도급을 줄 경우, 그 업무범위를 구체적으로 특정하지 않고 임의로 업무를 변경해도 된다.",X,"업무 상 도급을 줄 경우, 불법파견 리스크 예방을 위해 그 업무범위를 구체적으로 특정하고 임의로 업무를 변경하지 않는다."
9,도급계약 체결 이후 착공계 서류 등록시 현장대리인 선임계를 동시 등록해야 한다.,O,도급계약 체결 이후 착공계 서류 등록시 현장대리인 선임계를 동시 등록해야 한다.
10,도급계약 체결시 현장대리인을 선임하지 않아도 된다.,X,도급계약 체결시 불법파견 리스크 예방을 위해 현장대리인을 선임해야 한다.
11,도급업무 수행과 관련된 구체적 사안은 반드시 현장대리인을 통해 처리한다,O,도급업무 수행과 관련된 구체적 사안은 불법파견 리스크 예방을 위해 반드시 현장대리인을 통해 처리한다.
12,수급사 직원과 동일공간에서 함께 근무하는 것이 일의 효율을 위해 바람직하며 별도 분리된 공간에서 근무하지 않아도 된다,X,불법파견 리스크 예방을 위해 수급사 직원과 동일공간에서 함께 근무를 하면 소속/업무 구분이 어렵고 수급사 직원에 대한 근태관리/업무지시가 일어날 개연성이 높으므로 분리된 별도의 공간에서 근무토록 한다
13,수급사에 무상으로 상면을 임대차 하거나 도급업무 수행에 필요한 제반 설비/비품 등을 무상 제공하더라도 불법파견 리스크가 발생하는 것은 아니다.,X,불법파견 리스크 예방을 위해 수급사에 무상으로 상면을 임대차 하거나 도급업무 수행에 필요한 제반 설비/비품 등을 무상 제공 하지 않는다.
14,불법파견 리스크 예방을위해 수급사 직원을 대상으로 상품/CS 등 직무교육/훈련을 하지 않는것이 좋다.,O, 불법파견 리스크 예방을위해 수급사 직원을 대상으로 상품/CS 등 직무교육/훈련을 하지 않는것이 좋다.
15,불법파견 리스크 예방을 위해 수급사 직원에게 직접 표창하거나 포상하지 않는 것이 좋다,O,불법파견 리스크 예방을 위해 수급사 직원에게 직접 표창하거나 포상하지 않는 것이 좋다.
16,불법파견 리스크 예방을 위해수급사 직원의 근태관리를 하거나 연차 승인 등을 하지 않는다.,X,불법파견 리스크 예방을 위해수급사 직원의 근태관리를 하거나 연차 승인 등을 하지 않는다.
17,불법파견 리스크 예방을 위해 수급사 직원의 선발에는 관여하지 않아야 한다.,X,불법파견 리스크 예방을 위해 수급사 직원의 선발에는 관여하지 않아야 한다.
18,불법파견 리스크 예방을 위해 수급사 직원에 대한 교육 및 포상 등을 하지 않아야 한다.,X,불법파견 리스크 예방을 위해 수급사 직원에 대한 교육 및 포상 등을 하지 않아야 한다.
19,"하도급사 과업 수행 시, 협력사 직원에게 매일 작업일지 작성 또는 기타사항에 대한 결재 행위는 금지해야 한다.",O,"하도급사 과업 수행 시, 협력사 직원에게 매일 작업일지 작성 또는 기타사항에 대한 결재 행위는 금지해야 한다."
