번호,문항,답안,해설
1,접대성 교통비의 경우 비용계정은 교통비가 아니라 업무추진비로 집행해야한다.,O,접대성 교통비의 경우에는 교통비가 아니라 업무추진비 집행한다
2,"이해관계자와 각자의 비용 부담으로 골프를 하는 경우는 임원급 이상의 사전 서면승인(문서결재, 이메일)이 없어도 된다",X,"이해관계자와 각자의 비용 부담으로 골프를 하는 경우에 임원급 이상의 사전 서면승인(문서결재, 이메일 )이 필요하다"
3,개당 구매단가 5만원 초과 or 1회 총구매금액 100만원 이상의 선장품은 수불부를 작성 후 BPM에 첨부하여야 한다.,O,선장품 구매시 개당 구매단가 5만원 초과 or 1회 총구매금액 100만원 이상 물품의 경우 수불부를 작성 및 BPM 첨부하여야 한다.
4,선장품 구매시 개당 구매단가 3만원 초과 or 1회 총구매금액 50만원 이상인 물품의 경우 수불부를 작성한다.,X,선장품 구매시 개당 구매단가 5만원 초과 or 1회 총구매금액 100만원 이상 물품의 경우 수불부를 작성하여야 한다.
5,"불특정다수 판촉활동용 선장품은 예외적으로 선구매 가능하며, 수불부는 구매일부터 3개월 내 작성하여 BPM 첨부, 결재하면 된다.",X," 물품구매시 원칙적 선구매 금지이나, 예외적으로 개당 구매단가 5만원 이하 & 1회 총구매금액 100만원 이상이면서 지급대상자 확정이 불가한 불특정 다수 판촉활동 등의 경우에는 예외적으로 선구매 허용하되 IP구매일부터 30일이내 수불부 작성하여 BPM 결재 진행"
6,"물품구매는 계약(3단가총액) 외에는 IP구매를 원칙으로 하며, 물품구매 운영기준 및 물품구매 내부통제 가이드라인을 준수해야한다",O,"물품구매는 계약(3단가총액) 외에는 IP(전자조달) 구매를 원칙으로 하며, 물품구매 운영 기준 및 물품구매 내부통제 가이드라인을 준수한다."
7,"물품이 긴급히 필요한 경우에는, 물품을 먼저 받고 IP 구매 진행해도 무방하다.",X,"물품구매 금지사항 : 물품을 먼저 받고 IP구매(주무 및 정산) 진행하는 행위, 주문한 물품과 다른 물품을 받고서 정산하는 행위, 납품이 완료되지 않았거나, 물품을 확인하지 않은 채 정산하는 행위"
8,그룹사나 대리점 등 외부직원에게 선장품을 지급할 경우에는 원천징수를 할 필요가 없다.,X,KT직원 및 외부직원(그룹사/대리점 등) 대상으로 선장품 지급시 원천징수 해야한다.
9,체육행사비/동호회 활동 시 필요한 집기/탕비/비품 등은 '업무용물품으로 구매해도 된다.,O,"체육행사비/동호회 활동 시 필요한 집기/탕비/비품 등은 '업무용물품으로 구입 가능하나, 특정개인에게 제공하는 물품(경품 등)은 '선장품'으로 구매하여야 함"
10,"체육행사비/동호회 활동과 관련하여, 특정개인에게 제공하는 물품(경품 등)은 '선장품'으로 구매해도 된다.",O,"체육행사비/동호회 활동 시 필요한 집기/탕비/비품 등은 '업무용물품으로 구입 가능하나, 특정개인에게 제공하는 물품(경품 등)은 '선장품'으로 구매하여야 함"
11,,,
12,"IP구매시 업무 처리 목적으로 구매하는 장비류, 사무용품, 탕비류 등의 물품은 '업무용물품이다.",O,"IP구매시 업무 처리 목적으로 구매하는 장비류, 사무용품, 탕비류 등의 물품은 '업무용물품'이다."
13,"물품구매 운영기준에 따르면, 현수막/포스터/전단지 등은 IP구매 대상이다.",O,"현수막(설치포함), 포스터/전단지/책자/리플렛(디자인포함) 부서상황판/현황판(제작지원)은 IP구매 대상물품임"
14,"법인카드는 심야시간(24시~07시) 및 휴무일 사용을 자제하며, 지출위임전결기준(법인 카드 1회 30만원 기준)을 준수하고, 분할결제를 하지 않아야한다.",O,"법인카드는 심야시간(24시~07시) 및 휴무일 사용을 자제하며, 지출위임전결기준(법인 카드 1회 30만원 기준)을 준수하여 분할결제를 하지 않는다."
15,"심야시간(24시~7시)만 아니라면, 유흥주점에서 법인카드의 사용이 가능하다.",X,". 심야시간(24시~7시), 휴무일, 공휴일 및 근무지 외 장소 사용 자제하며, 유흥업소는 사용이 불가하다"
16,,,
17,법인카드 1회 사용액이 30만원 이하인 경우에는 직상급자까지만 결재 받으면 된다.,O,법인카드 1회 사용액이 30만원 이하인 경우에는 직상급자까지만 결재 받으면 된다.
18,,,
19,고의적인 지출위임전결기준' 왜곡 목적의 분할 결제는 금지 된다.,O,고의적인 지출위임전결기준' 왜곡 목적의 분할 결제는 금지
20,,,
21,"근무지 외 장소에서 사용할 경우, 결의시 업무처리 목적임을 기록해야 한다",O,근무지 외 장소에서 사용할 경우 결의시 업무처리 목적임을 기록해야 함
22,가가치세법상 과세거래에 해당하는 재화/용역을 공급하거나 받는 경우 법령상 허용되는 경우가 아니면 적정 시기를 임의 판단하여 세금계산서를 발급/수취할 수 있다,X,부가가치세법상 과세거래에 해당하는 재화/용역을 공급하거나 공급받는 경우 법령상 허용되는 경우가 아닌 한 원칙적으로 공급시기에 맞춰 세금계산서를 발급/수취하여야 한다.
23,재화나 용역을 공급하지 않거나 공급받지 않고 세금계산서를 발행한 경우 재원운용기준에는 위반되나 법률 위반은 아니다,X,재화나 용역을 공급하지 않거나 공급받지 않고 세금계산서를 발행한 경우 3년이하의 징역이나 세액의 3배 이하에 상당하는 벌금에 처해진다.
24,부가가치세법상 과세거래에 해당하는 재화/용역을 공급하거나 공급받는 경우 법령상 허용되는 경우가 아닌 한 원칙적으로 공급시기에 맞춰 세금계산서를 발급/수취해야한다,O,부가가치세법상 과세거래에 해당하는 재화/용역을 공급하거나 공급받는 경우 법령상 허용되는 경우가 아닌 한 원칙적으로 공급시기에 맞춰 세금계산서를 발급/수취하여야 한다.
25,"용역의 공급이나 역무의 제공이 완료되지 않아도, 공급업체가 요청하면 세금계산서의 우선 발급이 가능하다",X," 세금계산서는 용역의 공급시기에 발급되어야 하며, 역무의 제공이 완료되는 때, 시설물, 권리 등 재화가 사용되는 때를 공급시기로 정한다."
26,"세금계산서는 재화의 공급시기에 발급하여야 하는데, 재화의 이동이 필요한 경우에는 재화가 인도되는 때를 공급시기로 정한다",O,"세금계산서는 재화의 공급시기에 발급하여야 하는데, 재화의 이동이 필요한 경우에는 재화가 인도되는 때를 공급시기로 정한다."
