번호,문항,답안,해설
1,"회사는 안전보건관리책임자(부문장, 광역본부장, 지사장, 지점장/센터장 등) 및 관리감독자(안전보건관리책임자 예하 직책자)의 임명장을 보유해야 한다.",O,"[산업안전보건법 제164조] ① 1. 안전보건관리책임자, 관리감독자, 안전관리자 선임 및 증빙 서류 보존 3년,
[산업안전보건법 제175조 ⑤] 안전보건관리책임자, 관리감독자, 안전관리자 미선임 시 500만원 이하 과태료,
[산업안전보건법 제175조 ⑥]서류 미보존 시 300만원 이하의 과태료"
2,. 통신회사의 경우 100인 이상 사업장에 해당하는 경우 안전관리자를 선임한다.,X,[산업안전보건법 시행령 제16조 (안전관리자의 선임 등) 상시근로자 50인 이상 사업장(통신업)에 해당하는 경우 안전관리자를 선임한다. (1 명 이상)
3,"회사는 위험성평가를 실시하고 실시 내용 및 결과물을 기록/보존해야하며, 위험성평가 결과와 조치사항을 포함한 자료는 1년간 보존해야한다",X,"[산업안전보건법시행규칙 제37조], [산업안전보건관리규정 제39조 위험성평가] 위험성평가를 실시하고 -중략- 실시 내용 및 결과물을 기록/보존한다. 위험성평가 결과와 조치사항을 포함한 자료는 3년간 보존해야한다"
4,"안전보건 관련된 법적지위는 건설공사발주자, 도급인(안전보건조치의무 有), 도급인(안전보건 조치의무 無), 도급 계약으로 구분할 수 있다.",O,B2B '안전보건관리바이블' 2.1 직지위 확인
5,발주자/도급인 구분은 서비스형/구축형 여부나 고객과의 계약내용과 상관이 없다.,X,"B2B '안전보건관리바이블’
2.1 발주자/도급인 구분은 서비스형/구축형 여부와 고객과의 계약 내용/문구에 따라 지위가 변경되어 사업(공사) 특성에 따른 판단이 필요하다."
6,작업자는 작업 중에 급박한 위험이 있다고 하더라도 부서장의 승인이 없는 한 작업 중지를 해서는 안된다.,X,"B2B ‘안전보건관리바이블
5.2.1. 긴급조치 및 작업중지사업주의 작업중지
사업주는 산업재해가 발생할 급박한 위험이 있을 때에는 즉시 작업을 중지시키고 근로자를 작업장소에서 대피시키는 등 안전 및 보건에 관하여 필요한 조치를 하여야 한다근로자의 작업중지
산업재해 발생 위험 시 근로자는 작업을 중지 할 수 있으며 관리감독자 등은 보고를 받으면 안전 및 보건에 관하여 필요한 조치와 안전보건관리/총괄책임자에게 보고하여야 한다. 합리적인 근거가 있다면 사업주의 불이익 처우는 금지된다."
7,사다리작업시 2인 1조 작업은 필수이다.,O,7. [현장안전점검 체크리스트] 주작업시 고소작업차 사용이 원칙이나 불가피한 경우 사다리작업시 2인 1조작업을 하여야 함(작업자가 사다리 승강시 보조자는 양손으로 사다리를 반드시 잡아주어야 하고 자리 이탈을 하여 다른 작업을 하여서는 안됨)
8,여름철 작업중 땀이 많이 나면 안전모는 잠깐 벗어도 된다.,X,[현장안전점검 체크리스트] 작업전이나 작업중이나 작업후 정리시에도 안전모는 반드시 써야 함
9,[안전모/안전화 착용 시 안전모의 턱끈과 안전화의 신발끈은 꽉 조여야 한다.,O, [현장안전점검 체크리스트] 차량이나 보행자가 동행이 가능한 도로나 길 근처에서 작업시에는 반드시 신호수를 배치하여야 함
10,도로 인접한 곳에서 작업시 신호수를 반드시 배치하여야 한다.,O,[현장안전점검 체크리스트] 안전모와 안전화의 탈착을 방지하기 위해 착용후 안전모의 턱끈과 안전화의 신발끈은 타이트하게 조여야함
11, 맨홀 작업시 작업허가서는 게시까지 할 필요는 없고 가지고만 있으면 된다.,X, [현장안전점검 체크리스트] 작업자는 맨홀 출입전 작업허가서를 맨홀 입구 등 눈에 잘 보이는 곳에 게시하여야 함
12,"고소 작업 출동 전 사전 안전교육을 받고, 작업 내용 및 안전 수칙을 숙지해야한다",O,"[KT작업유형별 표준매뉴얼2021 고소작업] 고소 작업 출동 전 직책자는 직원들에게 사전 안전 교육을 실시하고, 작업직원은 작업 내용 및 안전수칙을 숙지한다"
13,고소작업차를 사용하여 차량 이동 중 작업은 금지사항이다,O,[KT작업유형별 표준매뉴얼2021 특수차량 작업] 고소작업차를 사용하여 가공선로 작업을 할 경우 차량을 이동시키면서 가설 등의 작업을 하여서는 안 된다.
14,사다리/말비계 작업 시 보조작업자가 없으면 작업을 할 수 없다.,O, [KT작업유형별 표준매뉴얼2021 실내 작업] 사다리/말비계 작업 시 보조작업자가 없는 경우 작업자 안전확보가 어려우므로 관리자(직책자)의 승인을 얻어 작업을 중지한다
